Date : 2022-09-11 10:47:25
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 216 files,  14923 codes, 1892 comments, 1527 blanks, all 18342 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        216 |     14,923 |      1,892 |      1,527 |     18,342 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        216 |     14,923 |      1,892 |      1,527 |     18,342 |
| admin                                                                                                                                        |         61 |      5,347 |      1,032 |        541 |      6,920 |
| admin/constant                                                                                                                               |          1 |          7 |          0 |          3 |         10 |
| admin/data                                                                                                                                   |          3 |        361 |         32 |         26 |        419 |
| admin/data/provider                                                                                                                          |          1 |         26 |          1 |          2 |         29 |
| admin/data/services                                                                                                                          |          1 |        322 |         24 |         19 |        365 |
| admin/futures                                                                                                                                |         43 |      3,978 |        782 |        375 |      5,135 |
| admin/futures/admin_list                                                                                                                     |         13 |      1,135 |        388 |        130 |      1,653 |
| admin/futures/admin_list/cubit                                                                                                               |          4 |        128 |        149 |         35 |        312 |
| admin/futures/admin_list/model                                                                                                               |          5 |        327 |        168 |         48 |        543 |
| admin/futures/admin_list/provider                                                                                                            |          1 |        256 |         11 |         34 |        301 |
| admin/futures/admin_list/view                                                                                                                |          2 |        421 |         60 |         12 |        493 |
| admin/futures/admin_profile                                                                                                                  |          1 |         12 |          0 |          3 |         15 |
| admin/futures/auth                                                                                                                           |          4 |        260 |         16 |         19 |        295 |
| admin/futures/auth/login                                                                                                                     |          3 |        258 |         16 |         18 |        292 |
| admin/futures/auth/login/cubit                                                                                                               |          2 |         97 |          3 |         13 |        113 |
| admin/futures/auth/login/view                                                                                                                |          1 |        161 |         13 |          5 |        179 |
| admin/futures/company                                                                                                                        |         10 |      1,644 |        310 |        127 |      2,081 |
| admin/futures/company/cubit                                                                                                                  |          4 |        195 |        152 |         39 |        386 |
| admin/futures/company/model                                                                                                                  |          2 |        513 |         82 |         30 |        625 |
