Date : 2022-09-11 10:47:25
Directory : /Users/estai/Desktop/W/tasu_front/lib
Total : 116 files,  2388 codes, -178 comments, 210 blanks, all 2420 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| global/data/provider                                                                                                                         |          2 |          0 |        -54 |        -14 |        -68 |
| global/data/services                                                                                                                         |          1 |         11 |          0 |          2 |         13 |
| global/utils                                                                                                                                 |          7 |        -38 |       -225 |        -35 |       -298 |
| global/widgets                                                                                                                               |          7 |        766 |        -33 |         46 |        779 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                     | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/estai/Desktop/W/tasu_front/lib/admin/admin.dart                                                                                       | Dart     |          0 |          2 |          0 |          2 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/data/services/admin_repository.dart                                                              | Dart     |          0 |          1 |          0 |          1 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/auth/login/cubit/login_cubit.dart                                                        | Dart     |         -1 |          3 |          0 |          2 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_cubit.dart                                                          | Dart     |        -84 |         -1 |        -11 |        -96 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/futures/user_list/cubit/user_state.dart                                                          | Dart     |        -52 |          0 |         -5 |        -57 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/util/http_util.dart                                                                              | Dart     |        -85 |        -69 |         -7 |       -161 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/util/http_util_a.dart                                                                            | Dart     |         72 |         66 |          9 |        147 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/adaptive_scafold_widget.dart                                                         | Dart     |          1 |          3 |          0 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/admin/view/widget/header_widget.dart                                                                   | Dart     |         -2 |          0 |          0 |         -2 |
| /Users/estai/Desktop/W/tasu_front/lib/client/client.dart                                                                                     | Dart     |          7 |          1 |          1 |          9 |
| /Users/estai/Desktop/W/tasu_front/lib/client/data/repository.dart                                                                            | Dart     |        193 |         -6 |         13 |        200 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/auth/cubit/login_cubit.dart                                                             | Dart     |          1 |          2 |          0 |          3 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/settings_screen.dart                                                      | Dart     |          0 |          0 |         -1 |         -1 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/classifiers_screen.dart                                               | Dart     |        -10 |          0 |         -3 |        -13 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/data/classifiers_provider.dart                    | Dart     |         49 |         36 |          4 |         89 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/activityarea_model.dart                     | Dart     |         13 |          0 |          3 |         16 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/cargostatus_model.dart                      | Dart     |         59 |          0 |          8 |         67 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/deferredpaymentterm_model.dart              | Dart     |         13 |          0 |          4 |         17 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/model/models.dart                                 | Dart     |          3 |          0 |          1 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/classifiers_screen.dart                      | Dart     |        191 |          0 |         16 |        207 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/activityarea_screen.dart                 | Dart     |         32 |          0 |          3 |         35 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/banks_screen.dart                        | Dart     |         86 |          0 |          4 |         90 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/breakingrule_screen.dart                 | Dart     |         43 |          0 |          4 |         47 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/cargostatuses_screen.dart                | Dart     |         66 |          0 |          7 |         73 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/carrierstypes_screen.dart                | Dart     |         10 |         50 |          7 |         67 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/categoriesofotherexpenses_screen.dart    | Dart     |         11 |          0 |          2 |         13 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/clienttypes_screen.dart                  | Dart     |         27 |         33 |          4 |         64 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/contactpersonsposts_screen.dart          | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/contacttypes_screen.dart                 | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/contries_screen.dart                     | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/deferredpaymentconditions_screen.dart    | Dart     |         38 |          0 |          5 |         43 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/documentstatuses_screen.dart             | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/drivinglicencecategories_screen.dart     | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/exchangerate_screen.dart                 | Dart     |         11 |          0 |          2 |         13 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/federaldistrict_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/flexformpresets_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/group_screen.dart                        | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/loadingmethod_screen.dart                | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/measurementname_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/orderstatuses_screen.dart                | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/packagings_screen.dart                   | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/paymenttypes_screen.dart                 | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/permissions_screen.dart                  | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/railwaystations_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/regions_screen.dart                      | Dart     |         11 |          0 |          2 |         13 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/requestpurposes_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/requestsource_screen.dart                | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/requeststatuses_screen.dart              | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/salesfunnelresult_screen.dart            | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/salesfunnelstatus_screen.dart            | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/sub.dart                                 | Dart     |         39 |          0 |          1 |         40 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/subcategoriesofotherexpenses_screen.dart | Dart     |         11 |          0 |          2 |         13 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/tags_screen.dart                         | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/taskstatuses_screen.dart                 | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/transporttypes_screen.dart               | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/tripstatuses_scrren.dart                 | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/truckbodytypes_screen.dart               | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/vatrates_screen.dart                     | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/classifiers/view/sub/workersposts_screen.dart                 | Dart     |         11 |          0 |          3 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/data/organization_provider.dart                  | Dart     |          6 |          0 |          3 |          9 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/model/department_model.dart                      | Dart     |         55 |          0 |          8 |         63 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/model/employee_model.dart                        | Dart     |        134 |          0 |          8 |        142 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/model/models.dart                                | Dart     |          3 |          0 |          1 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/dialog/banks_widget.dart                    | Dart     |        110 |          0 |          5 |        115 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/dialog/basicinfo_widget.dart                | Dart     |        243 |          0 |          4 |        247 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/dialog/dialogwidgets.dart                   | Dart     |          3 |          0 |          1 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/dialog/signature_widget.dart                | Dart     |         67 |          1 |          7 |         75 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/dialog/widget/title_widget.dart             | Dart     |         12 |          0 |          2 |         14 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/organization_screen.dart                    | Dart     |       -239 |        -10 |        -10 |       -259 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/sub/companies_screen.dart                   | Dart     |        -70 |         -1 |          1 |        -70 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/sub/departments_screen.dart                 | Dart     |         59 |          1 |          2 |         62 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/sub/employees_group_screen.dart             | Dart     |         45 |          1 |          0 |         46 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/view/sub/futures/organization/view/sub/employees_screen.dart                   | Dart     |         78 |          1 |          2 |         81 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/widget/body_widget.dart                                                        | Dart     |         31 |          0 |          4 |         35 |
| /Users/estai/Desktop/W/tasu_front/lib/client/futures/settings/widget/widgets.dart                                                            | Dart     |          1 |          0 |          1 |          2 |
| /Users/estai/Desktop/W/tasu_front/lib/client/model/bank_model.dart                                                                           | Dart     |         54 |          0 |          8 |         62 |
| /Users/estai/Desktop/W/tasu_front/lib/client/model/currency_model.dart                                                                       | Dart     |         50 |          0 |          8 |         58 |
| /Users/estai/Desktop/W/tasu_front/lib/client/model/dialog_edit_model.dart                                                                    | Dart     |          7 |          0 |          2 |          9 |
| /Users/estai/Desktop/W/tasu_front/lib/client/model/models.dart                                                                               | Dart     |          4 |          0 |          1 |          5 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/addupdate_dialog_widget.dart                                                        | Dart     |         -1 |          1 |          0 |          0 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/leftcard_widget.dart                                                                | Dart     |          0 |          4 |          0 |          4 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/row_edit_btn.dart                                                                   | Dart     |         55 |          0 |          4 |         59 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/rowitem_widget.dart                                                                 | Dart     |         11 |         13 |          4 |         28 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/tabbar_widget.dart                                                                  | Dart     |          0 |          1 |          0 |          1 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/table_column_widget.dart                                                            | Dart     |         43 |          0 |          5 |         48 |
| /Users/estai/Desktop/W/tasu_front/lib/client/view/widget/widgets.dart                                                                        | Dart     |          3 |          0 |          0 |          3 |
| /Users/estai/Desktop/W/tasu_front/lib/generated_plugin_registrant.dart                                                                       | Dart     |         -2 |          0 |          0 |         -2 |
| /Users/estai/Desktop/W/tasu_front/lib/global/config/constant/app_constant.dart                                                               | Dart     |         11 |          5 |          1 |         17 |
| /Users/estai/Desktop/W/tasu_front/lib/global/config/router/route.dart                                                                        | Dart     |        -10 |        -11 |         -1 |        -22 |
| /Users/estai/Desktop/W/tasu_front/lib/global/config/router/route_state.dart                                                                  | Dart     |          0 |         -7 |         -3 |        -10 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/app_state.dart                                                                             | Dart     |        119 |         19 |         16 |        154 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/base/base_state.dart                                                                       | Dart     |          4 |          0 |          1 |          5 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/base_state.dart                                                                            | Dart     |         -5 |          0 |         -2 |         -7 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/db.dart                                                                                    | Dart     |         44 |         36 |         18 |         98 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/main_state.dart                                                                            | Dart     |        -94 |          0 |        -13 |       -107 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/provider/auth_provider_admin.dart                                                          | Dart     |          0 |        -27 |         -7 |        -34 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/provider/auth_provider_client.dart                                                         | Dart     |          0 |        -27 |         -7 |        -34 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/repository.dart                                                                            | Dart     |        -11 |          0 |         -2 |        -13 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/services/repository.dart                                                                   | Dart     |         11 |          0 |          2 |         13 |
| /Users/estai/Desktop/W/tasu_front/lib/global/data/sp.dart                                                                                    | Dart     |        -65 |          0 |        -10 |        -75 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/api_heper.dart                                                                            | Dart     |          0 |       -190 |        -29 |       -219 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/app_scroll_behavior.dart                                                                  | Dart     |         16 |          1 |          4 |         21 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/http_client.dart                                                                          | Dart     |          0 |        -25 |         -7 |        -32 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/http_util.dart                                                                            | Dart     |        -86 |        -72 |         -8 |       -166 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/http_util_c.dart                                                                          | Dart     |         76 |         69 |         12 |        157 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/tr_widget.dart                                                                            | Dart     |        -50 |         -8 |         -7 |        -65 |
| /Users/estai/Desktop/W/tasu_front/lib/global/utils/utils.dart                                                                                | Dart     |          6 |          0 |          0 |          6 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/demos.dart                                                                              | Dart     |          0 |          0 |          2 |          2 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/futurebuilder_widget.dart                                                               | Dart     |          2 |          0 |          0 |          2 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/lan_dropdwon_widget.dart                                                                | Dart     |          0 |         -9 |          1 |         -8 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/listviewbuilder_widget.dart                                                             | Dart     |         22 |          0 |          2 |         24 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/textfileds_widget.dart                                                                  | Dart     |        747 |        -30 |         38 |        755 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/tr_widget.dart                                                                          | Dart     |         -6 |          6 |          3 |          3 |
| /Users/estai/Desktop/W/tasu_front/lib/global/widgets/widgets.dart                                                                            | Dart     |          1 |          0 |          0 |          1 |
| /Users/estai/Desktop/W/tasu_front/lib/main.dart                                                                                              | Dart     |        -13 |          8 |         -2 |         -7 |
| /Users/estai/Desktop/W/tasu_front/lib/test.dart                                                                                              | Dart     |       -143 |        -49 |        -19 |       -211 |
| Total                                                                                                                                        |          |      2,388 |       -178 |        210 |      2,420 |
+----------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
